광역지자체명,기초지자체명,방문자수
경상북도,영양군,1764171.0
경상북도,울릉군,1870652.0
강원도,양구군,2795127.0
전라북도,장수군,2853204.0
경상남도,의령군,4203911.0
강원도,화천군,4253999.0
경상북도,봉화군,4438327.0
전라북도,진안군,4611600.0
충청남도,청양군,4715839.0
전라북도,순창군,4730939.0
충청남도,계룡시,4926802.0
전라남도,진도군,4947099.0
경상북도,청송군,5057249.0
전라남도,장흥군,5124636.0
강원도,태백시,5203254.0
경상남도,함양군,5396577.0
전라남도,곡성군,5472846.0
전라남도,강진군,5542342.0
전라남도,구례군,5725761.0
충청북도,증평군,5767944.0
충청북도,보은군,5868986.0
전라남도,완도군,5896563.0
경상북도,고령군,6056088.0
광역시,인천,6213504.0
전라남도,함평군,6243939.0
충청북도,영동군,6313743.0
경상북도,예천군,6666231.0
강원도,철원군,6732255.0
경상남도,산청군,6759332.0
전라남도,고흥군,6819153.0
전라남도,보성군,6871796.0
강원도,영월군,6951583.0
경상북도,군위군,6981537.0
전라남도,신안군,7038337.0
경상북도,의성군,7049277.0
경상남도,합천군,7054999.0
경상남도,거창군,7118444.0
경상북도,성주군,7185821.0
전라남도,영광군,7262814.0
전라북도,무주군,7635044.0
경상남도,하동군,7703933.0
경상북도,울진군,7767591.0
전라북도,임실군,7782831.0
충청북도,단양군,8203780.0
강원도,정선군,8483085.0
경상북도,영주시,8552342.0
전라남도,해남군,8622541.0
경상남도,남해군,8781108.0
경기도,연천군,8872790.0
강원도,인제군,9053411.0
경상남도,고성군,9229048.0
경기도,동두천시,9276125.0
경상남도,창녕군,9417915.0
전라북도,남원시,9732149.0
충청남도,서천군,9836243.0
전라남도,장성군,9974345.0
전라북도,부안군,9982654.0
전라북도,고창군,9998247.0
경상북도,영덕군,10027628.0
충청북도,괴산군,10054227.0
경상북도,청도군,10106260.0
충청남도,금산군,10115957.0
전라남도,영암군,10234886.0
충청북도,옥천군,10278465.0
경상북도,문경시,10370776.0
경상남도,함안군,10589154.0
충청남도,부여군,10827657.0
전라북도,정읍시,11161641.0
강원도,동해시,11429747.0
강원도,삼척시,11513911.0
전라북도,김제시,11753949.0
충청남도,홍성군,11978251.0
경상북도,영천시,11997761.0
전라남도,화순군,12242241.0
경상북도,김천시,12275042.0
경상북도,상주시,12384817.0
충청북도,진천군,12740018.0
강원도,횡성군,12779216.0
강원도,고성군,12945363.0
광역시,울산13055223.0
전라남도,광양시,13418964.0
충청북도,제천시,14290557.0
전라남도,무안군,14460745.0
충청남도,예산군,14583036.0
경상남도,밀양시,14926832.0
전라남도,담양군,15260971.0
경상남도,사천시,15627129.0
충청남도,논산시,15808314.0
경상남도,통영시,16155179.0
전라남도,나주시,16323401.0
강원도,양양군,16550403.0
강원도,평창군,16946284.0
강원도,홍천군,17225922.0
경상북도,안동시,17323901.0
충청북도,음성군,17564282.0
경상남도,창원시 진해구,17957505.0
충청남도,보령시,18116396.0
충청남도,태안군,18118864.0
충청남도,서산시,18216050.0
광역시,부산,18369798.0
광역시,대구19160952.0
경상북도,칠곡군,19202297.0
경기도,과천시,19396039.0
전라북도,완주군,19966366.0
경상남도,창원시 마산회원구,20128017.0
광역시,광주20440804.0
경상남도,진주시,21845275.0
전라북도,익산시,22198979.0
충청남도,당진시,22243653.0
광역시,울산22443010.0
경상남도,거제시,23136878.0
충청북도,충주시,23333531.0
강원도,속초시,24015231.0
전라북도,군산시,24137542.0
광역시,대전,24355002.0
전라남도,순천시,24578209.0
경상북도,구미시,24627709.0
전라남도,목포시,24679904.0
광역시,울산24781768.0
경기도,군포시,24812098.0
충청북도,청주시 청원구,25096422.0
경상남도,창원시 마산합포구,25478677.0
경기도,성남시 중원구,25670041.0
경기도,여주시,25848995.0
충청남도,공주시,26151244.0
광역시,인천,26791134.0
전라남도,여수시,26883491.0
경기도,오산시,27243120.0
경기도,안산시 상록구,27534345.0
경기도,의왕시,28316192.0
경기도,안양시 만안구,28435793.0
광역시,서울,28644795.0
충청북도,청주시 서원구,28689953.0
경상북도,포항시 남구,28884507.0
경기도,가평군,28946521.0
충청북도,청주시 상당구,29554295.0
경상북도,포항시 북구,29618594.0
경상북도,경산시,29821729.0
경기도,포천시,29937112.0
강원도,원주시,30555505.0
강원도,춘천시,31038429.0
경상남도,창원시 의창구,31612011.0
광역시,울산,31993444.0
경상남도,창원시 성산구,32057098.0
경기도,양주시,32110243.0
경상남도,양산시,32476762.0
경기도,양평군,33025982.0
충청남도,아산시,33527170.0
경기도,수원시 장안구,34234034.0
충청북도,청주시 흥덕구,34365672.0
경기도,용인시 수지구,34418881.0
강원도,강릉시,35021412.0
전라북도,전주시 덕진구,35074595.0
충청남도,천안시 서북구,36052959.0
경기도,안성시,36761267.0
전라북도,전주시 완산구,37634246.0
경기도,광명시,38060526.0
경기도,성남시 수정구,38152331.0
경기도,안양시 동안구,38780303.0
경기도,이천시,39766584.0
경기도,의정부시,40670086.0
경기도,수원시 권선구,41062224.0
경상남도,김해시,41561137.0
충청남도,천안시 동남구,41785412.0
경기도,고양시 일산서구,41824672.0
광역시,인천,41871829.0
광역시,광주,43073123.0
경상북도,경주시,43603875.0
경기도,구리시,44887395.0
경기도,평택시,45581709.0
경기도,광주시,47029151.0
경기도,용인시 처인구,47229253.0
경기도,안산시 단원구,49305191.0
광역시,제주,49639515.0
광역시,서울구,49683056.0
경기도,김포시,50917581.0
경기도,시흥시,52248427.0
경기도,수원시 영통구,53281634.0
경기도,파주시,53737790.0
경기도,하남시,56136427.0
경기도,용인시 기흥구,56654214.0
경기도,수원시 팔달구,59345844.0
경기도,고양시 일산동구,60371860.0
경기도,고양시 덕양구,63069235.0
경기도,부천시,68217602.0
경기도,남양주시,71290013.0
경기도,성남시,83246584.0
경기도,화성시,95923557.0
